Predicted ANN load,Target Load,LSTM Load,Tmestamp,LSTM_MODEL_1_Load,LSTM_MODEL_2_Load,LSTM_MODEL_3_Load,CNN_LSTM_MODEL_Load,EMD-LSTM
56350.848,56830.41987,57303.727,8/10/2010 15:00,[53132.727],[49854.824],[50598.11],[56499.375],50414.945
55572.33,55722.07097,56631.4,8/10/2010 16:00,[51498.457],[49645.25],[53113.367],[55609.062],50414.945
54654.977,54142.06759,55558.28,8/10/2010 17:00,[50621.68],[49484.78],[55703.945],[54693.117],50414.945
53306.867,54017.70098,54041.92,8/10/2010 18:00,[50041.45],[49374.24],[56776.594],[53390.438],50414.945
53078.1,54121.53537,53721.7,8/10/2010 19:00,[49719.2],[49467.566],[57012.676],[53191.645],50414.945
52870.53,53370.83822,53484.555,8/10/2010 20:00,[49560.375],[50313.367],[57177.18],[53136.23],50414.945
51999.36,51490.28221,52683.277,8/10/2010 21:00,[49476.336],[52626.492],[57228.523],[52428.13],50414.945
50489.684,50917.53099,51164.066,8/10/2010 22:00,[49508.617],[55284.965],[57194.52],[50810.88],50414.945
49919.156,50270.27713,50543.4,8/10/2010 23:00,[49795.484],[56554.07],[57038.918],[50203.125],50414.945
49405.008,49889.74661,49835.375,8/11/2010 0:00,[50602.59],[56845.48],[56712.06],[49508.586],50414.945
48974.016,49648.83521,49862.812,8/11/2010 1:00,[52605.96],[56972.71],[55926.],[49278.53],49782.914
49081.258,49393.84456,49566.715,8/11/2010 2:00,[54988.58],[56980.62],[54478.11],[49192.56],49782.914
48957.2,49245.62147,49313.89,8/11/2010 3:00,[56123.59],[56876.25],[53641.934],[49044.156],49782.914
49162.195,49250.11901,49317.93,8/11/2010 4:00,[56816.67],[56535.164],[53992.55],[49056.523],49782.914
49381.18,49475.58236,49650.023,8/11/2010 5:00,[57172.516],[56008.535],[53597.07],[49337.46],49782.914
49704.617,50355.14365,50366.594,8/11/2010 6:00,[57232.938],[55456.25],[51875.52],[49982.875],49782.914
51071.676,52467.2249,52071.094,8/11/2010 7:00,[57269.4],[54352.043],[50890.996],[51585.336],49782.914
54006.19,54453.96182,54815.285,8/11/2010 8:00,[57152.54],[54461.29],[50350.17],[54223.137],49782.914
55751.613,56654.4294,56402.613,8/11/2010 9:00,[56904.71],[54383.273],[49943.766],[55765.35],49782.914
56853.695,57060.38076,57348.46,8/11/2010 10:00,[56393.17],[53737.67],[49698.215],[57025.023],49822.734
56843.062,57106.52937,57163.168,8/11/2010 11:00,[55594.156],[52066.164],[49532.76],[56974.383],49822.734
