Date time ,Temperature,Humidity,Holidays    0 for close   1 for open,year,month,day,hour,minute,second,weekday,Load
1/1/2009 1:00,24,0.94,1,2009,1,1,1,0,0,3,30360
1/1/2009 2:00,24,0.95,1,2009,1,1,2,0,0,3,29155
1/1/2009 3:00,24,0.96,1,2009,1,1,3,0,0,3,28086
1/1/2009 4:00,24,0.96,1,2009,1,1,4,0,0,3,28031
1/1/2009 5:00,24,0.96,1,2009,1,1,5,0,0,3,27730
1/1/2009 6:00,24,0.96,1,2009,1,1,6,0,0,3,30490
1/1/2009 7:00,24,0.93,1,2009,1,1,7,0,0,3,37081
1/1/2009 8:00,24,0.9,1,2009,1,1,8,0,0,3,46975
1/1/2009 9:00,25,0.87,1,2009,1,1,9,0,0,3,57261
1/1/2009 10:00,28,0.883333333,1,2009,1,1,10,0,0,3,63679
1/1/2009 11:00,30,0.896666667,1,2009,1,1,11,0,0,3,65123
1/1/2009 12:00,30,0.91,1,2009,1,1,12,0,0,3,65142
1/1/2009 13:00,30,0.92,1,2009,1,1,13,0,0,3,64745
1/1/2009 14:00,28,0.93,1,2009,1,1,14,0,0,3,64783
1/1/2009 15:00,29,0.94,1,2009,1,1,15,0,0,3,64607
1/1/2009 16:00,29,0.953333333,1,2009,1,1,16,0,0,3,61089
1/1/2009 17:00,29,0.966666667,1,2009,1,1,17,0,0,3,52406
1/1/2009 18:00,28,0.98,1,2009,1,1,18,0,0,3,50328
1/1/2009 19:00,27,0.976666667,1,2009,1,1,19,0,0,3,52425
1/1/2009 20:00,25,0.973333333,1,2009,1,1,20,0,0,3,50457
1/1/2009 21:00,25,0.97,1,2009,1,1,21,0,0,3,41577
1/1/2009 22:00,25,0.973333333,1,2009,1,1,22,0,0,3,36002
1/1/2009 23:00,25,0.976666667,1,2009,1,1,23,0,0,3,33522
1/2/2009 0:00,24,0.98,1,2009,2,1,0,0,0,6,30625
1/2/2009 1:00,24,0.98,1,2009,2,1,1,0,0,6,29060
1/2/2009 2:00,24,0.98,1,2009,2,1,2,0,0,6,27586
1/2/2009 3:00,24,0.98,1,2009,2,1,3,0,0,6,26846
1/2/2009 4:00,23,0.973333333,1,2009,2,1,4,0,0,6,26561
1/2/2009 5:00,23,0.966666667,1,2009,2,1,5,0,0,6,26626
1/2/2009 6:00,23,0.96,1,2009,2,1,6,0,0,6,29623
1/2/2009 7:00,23,0.94,1,2009,2,1,7,0,0,6,36612
1/2/2009 8:00,23,0.92,1,2009,2,1,8,0,0,6,48735
1/2/2009 9:00,24,0.9,1,2009,2,1,9,0,0,6,57640
1/2/2009 10:00,25,0.9,1,2009,2,1,10,0,0,6,62674
1/2/2009 11:00,27,0.9,1,2009,2,1,11,0,0,6,64199
1/2/2009 12:00,28,0.9,1,2009,2,1,12,0,0,6,63426
1/2/2009 13:00,29,0.913333333,1,2009,2,1,13,0,0,6,62501
1/2/2009 14:00,29,0.926666667,1,2009,2,1,14,0,0,6,63652
1/2/2009 15:00,28,0.94,1,2009,2,1,15,0,0,6,63210
