Tmestamp,ANN APEs,Proposed LSTM APEs,LSTM model 1 APEs,LSTM model 2 APEs,LSTM model 3 APEs,CNN-LSTM APEs
11/08/2010 01:00,1.531119928,0.150970732,6.332685906,15.07663726,11.91065362,2.651576385
11/08/2010 02:00,1.498606894,0.135052375,10.66929592,15.67548651,9.457274447,2.766861847
11/08/2010 03:00,1.500396275,0.434677162,14.29028271,15.8498772,8.430419611,2.265611636
11/08/2010 04:00,1.381552012,0.710798303,15.74615076,15.38222474,9.266615151,2.113570507
11/08/2010 05:00,1.258488188,0.713184854,15.83547735,14.07295338,7.375172693,1.643929391
11/08/2010 06:00,1.978964963,0.883889148,13.80234043,10.44100556,2.425361664,0.080252675
11/08/2010 07:00,3.151767419,1.315211356,9.098394491,3.23222946,3.294942516,1.91055445
11/08/2010 08:00,1.28265749,0.458003737,4.610000992,0.830361658,7.699064824,0.593605698
11/08/2010 09:00,2.065609719,0.249049194,0.065324813,4.495146147,11.95505713,0.501407221
11/08/2010 10:00,0.365337134,0.119175931,1.662229988,6.409001677,13.18821862,1.467679025
11/08/2010 11:00,0.411795941,0.297865466,2.7498876,9.391907421,13.53909869,1.101276223
11/08/2010 12:00,0.150892612,0.900937543,4.169699795,10.43146569,13.14851049,1.076547692
11/08/2010 13:00,0.779406392,0.39793384,5.076123704,11.16820591,12.52411553,0.140940068
11/08/2010 14:00,1.376148304,0.236545657,5.011892161,11.5768319,11.39176856,0.112593419
11/08/2010 15:00,2.134588441,0.785599504,5.8462305,12.13903164,9.676985737,0.01127873
11/08/2010 16:00,0.873384636,1.141906401,5.911891616,10.33466118,3.709929811,3.016511314
11/08/2010 17:00,0.507711752,1.493244669,5.231796777,8.186691697,2.86000238,3.871758716
11/08/2010 18:00,2.140275158,0.427450106,6.510351448,7.880419939,4.884296495,0.727553306
11/08/2010 19:00,2.51018533,0.331525028,7.70952616,7.602362403,5.191735021,0.103063972
11/08/2010 20:00,1.388704295,1.56805018,7.299628013,4.966553762,6.784013732,1.655679473
11/08/2010 21:00,0.862877304,1.180075951,4.087775811,2.359393467,10.65360157,3.648344168
11/08/2010 22:00,0.597470426,0.288033455,2.395139859,8.499690001,11.8459307,1.069595397
11/08/2010 23:00,0.893565459,0.433791418,0.26963688,12.25463914,12.25231891,0.510918907
12/08/2010 00:00,1.258808078,0.206507428,2.474925586,14.56070376,12.32058194,0.042878849
12/08/2010 01:00,1.58275481,0.278457183,5.935588967,15.35077162,11.14716852,2.355610803
12/08/2010 02:00,1.455505932,0.149952585,10.64394907,15.88949493,9.346962482,2.327890745
12/08/2010 03:00,1.640171703,0.510384604,14.44079768,15.27572367,9.493587322,2.156611567
12/08/2010 04:00,1.579336727,0.758652763,15.88520099,14.49114522,9.618098395,1.911715014
12/08/2010 05:00,1.432066286,0.715143057,15.94806086,13.71600481,7.728516728,1.543245682
12/08/2010 06:00,2.177426537,1.183121112,13.61030788,10.15205308,2.687834002,0.040495071
12/08/2010 07:00,3.115312848,1.433350417,8.744724013,3.59559661,2.776300737,2.047786896
12/08/2010 08:00,1.753322256,0.115425631,4.031149318,0.846003464,7.336310697,1.954637526
12/08/2010 09:00,1.828058251,0.025813073,0.267310962,4.123127032,11.36817035,1.223163689
12/08/2010 10:00,0.328075588,0.08923237,1.45367801,6.182341024,12.70217049,1.268440874
12/08/2010 11:00,0.261789213,0.307937201,2.653572476,8.977781194,13.08907879,1.0857058
12/08/2010 12:00,0.052297,0.963654853,3.915351413,9.673850567,12.66566615,1.179910161
12/08/2010 13:00,0.912843264,0.251766689,4.857892753,10.5443295,12.33294253,0.171268181
12/08/2010 14:00,2.023387482,0.725965032,5.325395956,11.56248665,12.29678034,0.419610227
12/08/2010 15:00,1.703530264,0.239044004,5.843267906,11.77507492,11.13258355,0.203224488
12/08/2010 16:00,0.708425458,0.954687934,6.330302757,10.32693846,8.172808098,2.33655606
12/08/2010 17:00,0.281712613,1.981954549,5.627774852,7.947483177,4.239885947,2.8869104
12/08/2010 18:00,1.996217732,0.507714867,6.810317325,7.910940692,0.736491754,0.261808573
12/08/2010 19:00,2.385955413,0.625948323,7.761733861,7.888596174,1.614374741,0.652061417
12/08/2010 20:00,1.44780855,1.506866918,7.397258392,6.106456294,2.364272741,0.517586478
12/08/2010 21:00,0.669912053,1.188795365,4.110546187,0.711640388,5.959489666,3.040265141
12/08/2010 22:00,0.566554077,0.233595019,2.384836377,2.916242487,6.96101732,0.543370976
12/08/2010 23:00,0.931384554,0.298916552,0.44135047,8.165241385,7.516020521,0.018906217
