Tmestamp,Predicted ANN load,Target Load,Proposed LSTM Load,LSTM_MODEL_1_Load,LSTM_MODEL_2_Load,LSTM_MODEL_3_Load,CNN_LSTM_MODEL_Load,ANN APEs,Proposed LSTM APEs,LSTM model 1 APEs,LSTM model 2 APEs,LSTM model 3 APEs,CNN-LSTM APEs
8/9/2010 22:00,50337.074,50495.15385,50638.64,49312.07,55081.477,57024.156,51564.543,0.313059448,0.284158259,2.342965136,9.082699626,12.92995793,2.117805509
8/9/2010 23:00,49563.62,49880.556,50211.4,49779.023,56462.137,56931.535,50701.91,0.63538987,0.663272478,0.203552262,13.19468251,14.13572655,1.646641629
8/10/2010 0:00,48942.145,49533.07258,49691.86,50657.227,56979.69,56603.406,49987.42,1.192996011,0.320568484,2.269502701,15.03362709,14.27396495,0.917260724
8/10/2010 1:00,48551.07,49314.64885,49071.164,52085.984,57176.06,55710.695,51137.094,1.548381399,0.493737369,5.619699652,15.94133048,12.96987061,3.695545223
8/10/2010 2:00,48365.703,49174.05201,48916.32,54096.42,57233.324,54456.03,50763.695,1.643852758,0.52412197,10.01009229,16.3892778,10.74139261,3.2326866
8/10/2010 3:00,48385.49,49050.46759,48828.02,56211.688,57324.523,54073.58,50729.035,1.355700817,0.453507583,14.59969856,16.86845369,10.2407024,3.422123157
8/10/2010 4:00,48463.664,49110.69544,48741.023,57021.76,57365.945,54154.02,50598.395,1.317495984,0.752733059,16.10863884,16.80947396,10.26929982,3.029278137
8/10/2010 5:00,48815.58,49369.01035,49012.023,57192.38,57275.906,53352.492,50673.863,1.121007584,0.723100073,15.84672165,16.01590875,8.068789756,2.643060172
8/10/2010 6:00,49492.836,50215.72008,49811.496,57051.473,56632.72,51657.766,50979.406,1.439557332,0.804975174,13.61277486,12.77886668,2.871702164,1.520810453
8/10/2010 7:00,51010.285,52380.79402,51678.984,56838.42,55084.973,50878.21,52272.043,2.616434221,1.33982318,8.510038963,5.162539115,2.868578165,0.207616211
8/10/2010 8:00,53869.58,54490.52873,54738.387,56830.754,53953.836,50401.65,54868.47,1.139553505,0.454864865,4.294737681,0.984928468,7.503833832,0.693590756
8/10/2010 9:00,55656.66,56371.08473,56564.836,56750.418,54122.688,50008.58,57128.055,1.267360267,0.343706833,0.672921715,3.98856389,11.28682331,1.342834316
8/10/2010 10:00,56660.832,57051.38569,56956.855,56552.625,53425.652,49573.438,58120.96,0.684564775,0.165693942,0.874230633,6.355207058,13.10739012,1.874756059
8/10/2010 11:00,56839.27,57072.50455,57325.508,55838.047,51755.957,49370.23,57836.523,0.408663597,0.443301818,2.162963689,9.31542709,13.49559584,1.338680431
8/10/2010 12:00,56642.863,57552.95855,57281.223,54689.062,50824.37,49289.598,57170.84,1.581318446,0.472148708,4.976106567,11.69112539,14.357838,0.663942497
8/10/2010 13:00,56802.992,57739.11736,57497.496,53979.426,50274.145,49464.51,57169.9,1.621301819,0.418470824,6.511515125,12.92879542,14.33102503,0.985843543
8/10/2010 14:00,56746.293,57813.61999,57357.605,53712.734,49863.473,50109.41,57265.367,1.846151461,0.788767405,7.093286998,13.7513392,13.3259429,0.948311125
8/10/2010 15:00,56536.402,56830.41987,57225.484,53143.363,49502.96,51514.152,57356.668,0.517360017,0.695163138,6.487822681,12.89355223,9.354616563,0.925997259
8/10/2010 16:00,55364.36,55722.07097,56178.65,51827.223,49379.406,53332.33,56397.508,0.641955627,0.819386326,6.989776048,11.3826799,4.288679384,1.212153494
8/10/2010 17:00,54180.32,54142.06759,54696.824,50833.23,49353.023,55626.617,55515.75,0.070651919,1.024631003,6.111398654,8.845330079,2.741951824,2.537181292
8/10/2010 18:00,52964.84,54017.70098,53967.44,50130.383,49561.43,56730.188,54249.48,1.949103647,0.093045389,7.196378057,8.249649465,5.021478091,0.429079757
8/10/2010 19:00,52919.793,54121.53537,54104.54,49709.14,50181.793,56984.586,54489.74,2.220451363,0.031402232,8.152753502,7.279435705,5.290039557,0.68032924
8/10/2010 20:00,52780.84,53370.83822,54099.46,49321.293,51534.26,57109.668,54596.707,1.105469278,1.365205802,7.587561588,3.441164279,7.005379538,2.296888752
8/10/2010 21:00,51963.625,51490.28221,52139.203,49264.836,53494.812,57145.594,53682.867,0.919285678,1.260278177,4.32207033,3.893025449,10.98326043,4.258249704
8/10/2010 22:00,50508.715,50917.53099,50842.074,49469.125,55414.457,57081.348,51503.824,0.802898299,0.148194519,2.844611594,8.831783322,12.10549076,1.151456087
8/10/2010 23:00,49816.03,50270.27713,50537.094,50119.395,56606.97,56842.418,50867.996,0.903609759,0.530764669,0.300141831,12.60524754,13.07361177,1.189010493
8/11/2010 0:00,49255.133,49889.74661,50109.86,51227.668,57072.727,56307.25,50128.17,1.272032137,0.441199655,2.681756234,14.3977087,12.86337139,0.477900583
8/11/2010 1:00,48888.652,49648.83521,49573.88,52792.94,57134.21,55562.336,50965.312,1.531119928,0.150970732,6.332685906,15.07663726,11.91065362,2.651576385
8/11/2010 2:00,48653.625,49393.84456,49327.137,54663.82,57136.57,54065.156,50760.504,1.498606894,0.135052375,10.66929592,15.67548651,9.457274447,2.766861847
8/11/2010 3:00,48506.742,49245.62147,49031.562,56282.96,57050.992,53397.234,50361.336,1.500396275,0.434677162,14.29028271,15.8498772,8.430419611,2.265611636
8/11/2010 4:00,48569.703,49250.11901,48900.05,57005.117,56825.883,53813.938,50291.055,1.381552012,0.710798303,15.74615076,15.38222474,9.266615151,2.113570507
8/11/2010 5:00,48852.938,49475.58236,49122.73,57310.277,56438.258,53124.492,50288.926,1.258488188,0.713184854,15.83547735,14.07295338,7.375172693,1.643929391
8/11/2010 6:00,49358.633,50355.14365,49910.06,57305.332,55612.727,51576.438,50395.555,1.978964963,0.883889148,13.80234043,10.44100556,2.425361664,0.080252675
8/11/2010 7:00,50813.58,52467.2249,51777.17,57240.9,54163.086,50738.46,51464.81,3.151767419,1.315211356,9.098394491,3.23222946,3.294942516,1.91055445
8/11/2010 8:00,53755.504,54453.96182,54703.363,56964.29,54001.797,50261.516,54130.72,1.28265749,0.458003737,4.610000992,0.830361658,7.699064824,0.593605698
8/11/2010 9:00,55484.17,56654.4294,56513.332,56617.42,54107.73,49881.36,56370.36,2.065609719,0.249049194,0.065324813,4.495146147,11.95505713,0.501407221
8/11/2010 10:00,56851.918,57060.38076,57128.383,56111.906,53403.38,49535.133,57897.844,0.365337134,0.119175931,1.662229988,6.409001677,13.18821862,1.467679025
8/11/2010 11:00,56871.367,57106.52937,57276.63,55536.164,51743.137,49374.82,57735.43,0.411795941,0.297865466,2.7498876,9.391907421,13.53909869,1.101276223
8/11/2010 12:00,56667.348,56752.98406,57264.293,54386.555,50832.816,49290.812,57363.957,0.150892612,0.900937543,4.169699795,10.43146569,13.14851049,1.076547692
8/11/2010 13:00,56109.254,56550.00838,56775.04,53679.46,50234.387,49467.62,56629.71,0.779406392,0.39793384,5.076123704,11.16820591,12.52411553,0.140940068
8/11/2010 14:00,55638.92,56415.27789,56281.83,53587.805,49884.176,49988.58,56351.758,1.376148304,0.236545657,5.011892161,11.5768319,11.39176856,0.112593419
8/11/2010 15:00,55194.586,56398.46103,55955.395,53101.277,49552.234,50940.79,56392.1,2.134588441,0.785599504,5.8462305,12.13903164,9.676985737,0.01127873
8/11/2010 16:00,54639.16,55120.57463,55750,51861.906,49424.05,53075.64,56783.293,0.873384636,1.141906401,5.911891616,10.33466118,3.709929811,3.016511314
8/11/2010 17:00,53468.35,53741.20039,54543.688,50929.57,49341.574,55278.2,55821.93,0.507711752,1.493244669,5.231796777,8.186691697,2.86000238,3.871758716
8/11/2010 18:00,52551.188,53700.52704,53930.07,50204.434,49468.7,56323.42,54091.227,2.140275158,0.427450106,6.510351448,7.880419939,4.884296495,0.727553306
8/11/2010 19:00,52554.047,53907.21808,54085.934,49751.227,49808.996,56705.938,53962.777,2.51018533,0.331525028,7.70952616,7.602362403,5.191735021,0.103063972
8/11/2010 20:00,52486.21,53225.35276,54059.953,49340.1,50581.887,56836.168,54106.594,1.388704295,1.56805018,7.299628013,4.966553762,6.784013732,1.655679473
8/11/2010 21:00,51772.258,51329.3487,51935.074,49231.12,52540.41,56797.773,53202.02,0.862877304,1.180075951,4.087775811,2.359393467,10.65360157,3.648344168
8/11/2010 22:00,50238.75,50540.71583,50686.29,49330.195,54836.52,56527.734,51081.297,0.597470426,0.288033455,2.395139859,8.499690001,11.8459307,1.069595397
8/11/2010 23:00,49548.406,49995.14535,50212.02,49860.34,56121.87,56120.71,50250.58,0.893565459,0.433791418,0.26963688,12.25463914,12.25231891,0.510918907
8/12/2010 0:00,49045.477,49670.73624,49773.31,50900.05,56903.145,55790.46,49649.438,1.258808078,0.206507428,2.474925586,14.56070376,12.32058194,0.042878849
8/12/2010 1:00,48674.03,49456.81004,49319.094,52392.363,57048.812,54969.844,50621.82,1.58275481,0.278457183,5.935588967,15.35077162,11.14716852,2.355610803
8/12/2010 2:00,48485.684,49201.8194,49128.04,54438.836,57019.74,53800.695,50347.184,1.455505932,0.149952585,10.64394907,15.88949493,9.346962482,2.327890745
8/12/2010 3:00,48303.08,49108.54445,48857.902,56200.21,56610.23,53770.707,50167.625,1.640171703,0.510384604,14.44079768,15.27572367,9.493587322,2.156611567
8/12/2010 4:00,48367.02,49143.15591,48770.33,56949.645,56264.562,53869.793,50082.633,1.579336727,0.758652763,15.88520099,14.49114522,9.618098395,1.911715014
8/12/2010 5:00,48631.367,49337.9187,48985.082,57206.36,56105.11,53151.008,50099.324,1.432066286,0.715143057,15.94806086,13.71600481,7.728516728,1.543245682
8/12/2010 6:00,49148.516,50242.50974,49648.08,57080.67,55343.156,51592.945,50222.164,2.177426537,1.183121112,13.61030788,10.15205308,2.687834002,0.040495071
8/12/2010 7:00,50609.152,52236.48183,51487.75,56804.418,54114.695,50786.24,51166.79,3.115312848,1.433350417,8.744724013,3.59559661,2.776300737,2.047786896
8/12/2010 8:00,53260.984,54211.48605,54274.06,56396.832,53752.855,50234.363,53151.848,1.753322256,0.115425631,4.031149318,0.846003464,7.336310697,1.954637526
8/12/2010 9:00,55240.188,56268.81471,56254.29,56118.402,53948.78,49872.08,55580.555,1.828058251,0.025813073,0.267310962,4.123127032,11.36817035,1.223163689
8/12/2010 10:00,56573.613,56759.82814,56709.18,55934.723,53250.742,49550.098,57479.793,0.328075588,0.08923237,1.45367801,6.182341024,12.70217049,1.268440874
8/12/2010 11:00,56628.79,56777.42718,56952.266,55270.797,51680.074,49345.785,57393.863,0.261789213,0.307937201,2.653572476,8.977781194,13.08907879,1.0857058
8/12/2010 12:00,56342.777,56372.258,56915.492,54165.086,50918.89,49232.336,57037.4,0.052297,0.963654853,3.915351413,9.673850567,12.66566615,1.179910161
8/12/2010 13:00,55704.016,56217.19084,56358.727,53486.22,50289.465,49283.957,56313.473,0.912843264,0.251766689,4.857892753,10.5443295,12.33294253,0.171268181
8/12/2010 14:00,55297.152,56439.13438,56029.406,53433.527,49913.367,49498.938,56202.31,2.023387482,0.725965032,5.325395956,11.56248665,12.29678034,0.419610227
8/12/2010 15:00,55279.312,56237.33197,56102.9,52951.234,49615.344,49976.664,56351.62,1.703530264,0.239044004,5.843267906,11.77507492,11.13258355,0.203224488
8/12/2010 16:00,54761.152,55151.86183,55678.39,51660.582,49456.363,50644.406,56440.516,0.708425458,0.954687934,6.330302757,10.32693846,8.172808098,2.33655606
8/12/2010 17:00,53818.668,53667.47994,54731.145,50647.195,49402.266,51392.04,55216.812,0.281712613,1.981954549,5.627774852,7.947483177,4.239885947,2.8869104
8/12/2010 18:00,52602.676,53674.12847,53946.64,50018.75,49428,54069.434,53533.605,1.996217732,0.507714867,6.810317325,7.910940692,0.736491754,0.261808573
8/12/2010 19:00,52516.414,53800.05943,54136.82,49624.242,49555.99,54668.594,53449.25,2.385955413,0.625948323,7.761733861,7.888596174,1.614374741,0.652061417
8/12/2010 20:00,52442.996,53213.42451,54015.28,49277.09,49963.97,54471.535,53488.85,1.44780855,1.506866918,7.397258392,6.106456294,2.364272741,0.517586478
8/12/2010 21:00,51613.76,51270.29412,51879.793,49162.805,50905.434,54325.742,52829.047,0.669912053,1.188795365,4.110546187,0.711640388,5.959489666,3.040265141
8/12/2010 22:00,50207.516,50493.58949,50611.54,49289.4,51966.105,54008.457,50767.957,0.566554077,0.233595019,2.384836377,2.916242487,6.96101732,0.543370976
8/12/2010 23:00,49535.31,50001.0117,50150.473,49780.332,54083.715,53759.098,50010.465,0.931384554,0.298916552,0.44135047,8.165241385,7.516020521,0.018906217
13/08/2010 0:00,49065.65,49719.03585,49771.027,50796.812,55456.99,53494.387,49498.984,1.314156316,0.104569908,2.167733407,11.54075909,7.593371604,0.442590743
13/08/2010 1:00,48671.31,49497.28785,49336.277,52318.4,55113.406,53177.543,50798.93,1.668733553,0.325292268,5.699528747,11.34631491,7.435266274,2.629724186
13/08/2010 2:00,48478.81,49253.83436,49130.336,53739.066,54543.22,52735.133,50545.777,1.573531016,0.25073857,9.106360344,10.73903323,7.068076395,2.623029571
13/08/2010 3:00,48337.53,49110.4999,48877.37,54437.48,53856.617,53067.336,50275.676,1.573940199,0.474704799,10.84692705,9.664159619,8.057006359,2.372560048
13/08/2010 4:00,48377.195,49119.10387,48750.53,55160.2,53584.2,53426.992,50244.15,1.51042835,0.750367659,12.29887285,9.090345259,8.77029056,2.290445145
13/08/2010 5:00,48643.152,49278.86412,48921.46,55826.418,53643.008,52826.695,50243.492,1.290029978,0.725268584,13.28673864,8.856015572,7.199498088,1.957488057
13/08/2010 6:00,49156.25,49513.12699,49465.812,55207.242,53151.043,51302.176,50332.016,0.720772473,0.095560497,11.50021289,7.347376809,3.613282212,1.653882636
13/08/2010 7:00,49812.938,50015.48203,50158.387,54467.65,52710.176,50571.41,50482.555,0.404962667,0.285721469,8.90157965,5.387719683,1.111511771,0.93385678
13/08/2010 8:00,50820.223,51528.41348,51318.33,53867.883,53155.562,50000.24,50936.92,1.374368882,0.40770415,4.540154377,3.157769491,2.96569092,1.147897713
13/08/2010 9:00,52667.973,53725.16571,53564.75,53705.875,53648.848,49625.094,52110.094,1.967779338,0.298585789,0.035906283,0.14205207,7.631566429,3.006173529
13/08/2010 10:00,54570.992,53952.58451,54451.164,53659.773,53009.01,49278.625,54119.312,1.146205498,0.924106777,0.54272008,1.748895847,8.663087325,0.309025956
13/08/2010 11:00,54607.08,53946.71816,54137.54,53211.805,51348.977,49040.09,54126.875,1.224100117,0.353722796,1.362294473,4.81538312,9.095322806,0.33395329
13/08/2010 12:00,54432.65,53420.31109,54038.812,52619.375,50507.35,48882.51,53972.79,1.895044955,1.157801026,1.499310045,5.45290926,8.494523894,1.03421133
13/08/2010 13:00,53868.203,52916.78279,53470.47,52695.152,49971.984,48821.3,53290,1.797955506,1.046335739,0.41882892,5.564961879,7.739478052,0.705290818
13/08/2010 14:00,53286.863,52845.79996,52918.22,52974.02,49647.89,48876.953,52702.78,0.834622695,0.137040295,0.242630521,6.051398526,7.510241047,0.27063638
13/08/2010 15:00,53011.848,52666.48522,52834.402,52694.965,49183.37,49133.188,52570.516,0.655754373,0.318830428,0.054075718,6.613532696,6.708815303,0.182220666
13/08/2010 16:00,52647.727,52515.72005,52704.906,51405.348,49036.16,49557.586,52333.2,0.251366543,0.360246322,2.114361279,6.625749484,5.632854405,0.34755317
13/08/2010 17:00,52352.863,52468.39817,52675.906,50445.723,48942.215,50206.9,52060.84,0.220199537,0.395491071,3.855035108,6.720584758,4.310210048,0.776768844
13/08/2010 18:00,52051.324,52995.58741,52803.31,49885.2,48782.45,51377.64,51966.402,1.78177742,0.362817773,5.869144134,7.949977755,3.052985143,1.94202095
13/08/2010 19:00,52211.188,53359.10552,53485.79,49530.56,48471.082,52959.85,52384.332,2.151305778,0.237418673,7.175055659,9.160617429,0.748242528,1.82681758
13/08/2010 20:00,52126.88,52701.48777,53602.16,49009.96,48207.203,52889.234,52712.457,1.090306544,1.709007218,7.004598781,8.527813844,0.356244649,0.020813891
13/08/2010 21:00,51266.15,50934.15231,51628.707,48816.816,48520.36,52531.258,52058.555,0.651817445,1.36363257,4.157007065,4.739044827,3.135628292,2.207561408
13/08/2010 22:00,49925.062,50344.38867,50433.676,48757.656,49385.477,52401.434,50424.824,0.832916401,0.177353092,3.151756754,1.904704169,4.085947579,0.159770199
13/08/2010 23:00,49373.266,49853.96188,50070.023,48827.14,50904.445,52490.723,49875.305,0.964207982,0.433388064,2.059659536,2.107120639,5.288970065,0.042811282
14/08/2010 0:00,48923.406,49552.82262,49646.17,49031.44,52046.812,52660.656,49389.246,1.270193274,0.188379541,1.052175421,5.03299156,6.271758531,0.330105555
14/08/2010 1:00,48380.832,49183.43817,49182.11,49376.797,51997.316,52379.734,49197.055,1.631862675,0.002700442,0.393138091,5.721189764,6.498723857,0.027685803
14/08/2010 2:00,48068.016,48938.61586,48826.285,49942.344,51920.152,52003.41,48898.32,1.778962982,0.229534199,2.050994133,6.092399811,6.262527221,0.082339599
