Tmestamp,Predicted ANN load,Target Load,Proposed LSTM Load,LSTM_MODEL_1_Load,LSTM_MODEL_2_Load,LSTM_MODEL_3_Load,CNN_LSTM_MODEL_Load
8/11/2010 00:00,49255.133,49889.74661,50109.86,51227.668,57072.727,56307.25,50128.17
8/11/2010 01:00,48888.652,49648.83521,49573.88,52792.94,57134.21,55562.336,50965.312
8/11/2010 02:00,48653.625,49393.84456,49327.137,54663.82,57136.57,54065.156,50760.504
8/11/2010 03:00,48506.742,49245.62147,49031.562,56282.96,57050.992,53397.234,50361.336
8/11/2010 04:00,48569.703,49250.11901,48900.05,57005.117,56825.883,53813.938,50291.055
8/11/2010 05:00,48852.938,49475.58236,49122.73,57310.277,56438.258,53124.492,50288.926
8/11/2010 06:00,49358.633,50355.14365,49910.06,57305.332,55612.727,51576.438,50395.555
8/11/2010 07:00,50813.58,52467.2249,51777.17,57240.9,54163.086,50738.46,51464.81
8/11/2010 08:00,53755.504,54453.96182,54703.363,56964.29,54001.797,50261.516,54130.72
8/11/2010 09:00,55484.17,56654.4294,56513.332,56617.42,54107.73,49881.36,56370.36
8/11/2010 10:00,56851.918,57060.38076,57128.383,56111.906,53403.38,49535.133,57897.844
8/11/2010 11:00,56871.367,57106.52937,57276.63,55536.164,51743.137,49374.82,57735.43
8/11/2010 12:00,56667.348,56752.98406,57264.293,54386.555,50832.816,49290.812,57363.957
8/11/2010 13:00,56109.254,56550.00838,56775.04,53679.46,50234.387,49467.62,56629.71
8/11/2010 14:00,55638.92,56415.27789,56281.83,53587.805,49884.176,49988.58,56351.758
8/11/2010 15:00,55194.586,56398.46103,55955.395,53101.277,49552.234,50940.79,56392.1
8/11/2010 16:00,54639.16,55120.57463,55750,51861.906,49424.05,53075.64,56783.293
8/11/2010 17:00,53468.35,53741.20039,54543.688,50929.57,49341.574,55278.2,55821.93
8/11/2010 18:00,52551.188,53700.52704,53930.07,50204.434,49468.7,56323.42,54091.227
8/11/2010 19:00,52554.047,53907.21808,54085.934,49751.227,49808.996,56705.938,53962.777
8/11/2010 20:00,52486.21,53225.35276,54059.953,49340.1,50581.887,56836.168,54106.594
8/11/2010 21:00,51772.258,51329.3487,51935.074,49231.12,52540.41,56797.773,53202.02
8/11/2010 22:00,50238.75,50540.71583,50686.29,49330.195,54836.52,56527.734,51081.297
8/11/2010 23:00,49548.406,49995.14535,50212.02,49860.34,56121.87,56120.71,50250.58
8/12/2010 00:00,49045.477,49670.73624,49773.31,50900.05,56903.145,55790.46,49649.438
8/12/2010 01:00,48674.03,49456.81004,49319.094,52392.363,57048.812,54969.844,50621.82
8/12/2010 02:00,48485.684,49201.8194,49128.04,54438.836,57019.74,53800.695,50347.184
8/12/2010 03:00,48303.08,49108.54445,48857.902,56200.21,56610.23,53770.707,50167.625
8/12/2010 04:00,48367.02,49143.15591,48770.33,56949.645,56264.562,53869.793,50082.633
8/12/2010 05:00,48631.367,49337.9187,48985.082,57206.36,56105.11,53151.008,50099.324
8/12/2010 06:00,49148.516,50242.50974,49648.08,57080.67,55343.156,51592.945,50222.164
8/12/2010 07:00,50609.152,52236.48183,51487.75,56804.418,54114.695,50786.24,51166.79
8/12/2010 08:00,53260.984,54211.48605,54274.06,56396.832,53752.855,50234.363,53151.848
8/12/2010 09:00,55240.188,56268.81471,56254.29,56118.402,53948.78,49872.08,55580.555
8/12/2010 10:00,56573.613,56759.82814,56709.18,55934.723,53250.742,49550.098,57479.793
8/12/2010 11:00,56628.79,56777.42718,56952.266,55270.797,51680.074,49345.785,57393.863
8/12/2010 12:00,56342.777,56372.258,56915.492,54165.086,50918.89,49232.336,57037.4
8/12/2010 13:00,55704.016,56217.19084,56358.727,53486.22,50289.465,49283.957,56313.473
8/12/2010 14:00,55297.152,56439.13438,56029.406,53433.527,49913.367,49498.938,56202.31
8/12/2010 15:00,55279.312,56237.33197,56102.9,52951.234,49615.344,49976.664,56351.62
