Tmestamp,Target Load,Predicted ANN load,Proposed LSTM Load,LSTM_MODEL_1_Load,LSTM_MODEL_2_Load,LSTM_MODEL_3_Load,CNN_LSTM_MODEL_Load,EMD_LSTM
10/8/2010 18:00,54017.70098,52964.84,53967.44,50130.383,49561.43,56730.188,53390.438,50414.945
10/8/2010 19:00,54121.53537,52919.793,54104.54,49709.14,50181.793,56984.586,53191.645,50414.945
10/8/2010 20:00,53370.83822,52780.84,54099.46,49321.293,51534.26,57109.668,53136.23,50414.945
10/8/2010 21:00,51490.28221,51963.625,52139.203,49264.836,53494.812,57145.594,52428.13,50414.945
10/8/2010 22:00,50917.53099,50508.715,50842.074,49469.125,55414.457,57081.348,50810.88,50414.945
10/8/2010 23:00,50270.27713,49816.03,50537.094,50119.395,56606.97,56842.418,50203.125,50414.945
11/8/2010 0:00,49889.74661,49255.133,50109.86,51227.668,57072.727,56307.25,49508.586,50414.945
11/8/2010 1:00,49648.83521,48888.652,49573.88,52792.94,57134.21,55562.336,49278.53,49782.914
11/8/2010 2:00,49393.84456,48653.625,49327.137,54663.82,57136.57,54065.156,49192.56,49782.914
11/8/2010 3:00,49245.62147,48506.742,49031.562,56282.96,57050.992,53397.234,49044.156,49782.914
11/8/2010 4:00,49250.11901,48569.703,48900.05,57005.117,56825.883,53813.938,49056.523,49782.914
11/8/2010 5:00,49475.58236,48852.938,49122.73,57310.277,56438.258,53124.492,49337.46,49782.914
11/8/2010 6:00,50355.14365,49358.633,49910.06,57305.332,55612.727,51576.438,49982.875,49782.914
11/8/2010 7:00,52467.2249,50813.58,51777.17,57240.9,54163.086,50738.46,51585.336,49782.914
11/8/2010 8:00,54453.96182,53755.504,54703.363,56964.29,54001.797,50261.516,54223.137,49782.914
11/8/2010 9:00,56654.4294,55484.17,56513.332,56617.42,54107.73,49881.36,55765.35,49782.914
11/8/2010 10:00,57060.38076,56851.918,57128.383,56111.906,53403.38,49535.133,57025.023,49822.734
11/8/2010 11:00,57106.52937,56871.367,57276.63,55536.164,51743.137,49374.82,56974.383,49822.734
11/8/2010 12:00,56752.98406,56667.348,57264.293,54386.555,50832.816,49290.812,56688.98,49822.734
11/8/2010 13:00,56550.00838,56109.254,56775.04,53679.46,50234.387,49467.62,56115.348,49822.734
11/8/2010 14:00,56415.27789,55638.92,56281.83,53587.805,49884.176,49988.58,55782.055,49822.734
11/8/2010 15:00,56398.46103,55194.586,55955.395,53101.277,49552.234,50940.79,55535.195,49822.734
11/8/2010 16:00,55120.57463,54639.16,55750,51861.906,49424.05,53075.64,55370.24,40887.574
11/8/2010 17:00,53741.20039,53468.35,54543.688,50929.57,49341.574,55278.2,54316.016,40886.92
11/8/2010 18:00,53700.52704,52551.188,53930.07,50204.434,49468.7,56323.42,53119.336,40861.61
11/8/2010 19:00,53907.21808,52554.047,54085.934,49751.227,49808.996,56705.938,52969.492,40861.816
11/8/2010 20:00,53225.35276,52486.21,54059.953,49340.1,50581.887,56836.168,52991.68,40861.965
11/8/2010 21:00,51329.3487,51772.258,51935.074,49231.12,52540.41,56797.773,52332.656,40862.883
11/8/2010 22:00,50540.71583,50238.75,50686.29,49330.195,54836.52,56527.734,50695.133,40862.83
11/8/2010 23:00,49995.14535,49548.406,50212.02,49860.34,56121.87,56120.71,49896.996,40862.28
12/8/2010 0:00,49670.73624,49045.477,49773.31,50900.05,56903.145,55790.46,49283.883,40862.24
12/8/2010 1:00,49456.81004,48674.03,49319.094,52392.363,57048.812,54969.844,49008,49782.914
12/8/2010 2:00,49201.8194,48485.684,49128.04,54438.836,57019.74,53800.695,48898.33,49782.914
12/8/2010 3:00,49108.54445,48303.08,48857.902,56200.21,56610.23,53770.707,48738.9,49782.914
12/8/2010 4:00,49143.15591,48367.02,48770.33,56949.645,56264.562,53869.793,48798.36,49782.914
12/8/2010 5:00,49337.9187,48631.367,48985.082,57206.36,56105.11,53151.008,49078.68,49782.914
12/8/2010 6:00,50242.50974,49148.516,49648.08,57080.67,55343.156,51592.945,49637.44,49782.914
12/8/2010 7:00,52236.48183,50609.152,51487.75,56804.418,54114.695,50786.24,51268.16,49782.914
12/8/2010 8:00,54211.48605,53260.984,54274.06,56396.832,53752.855,50234.363,53785.54,49782.914
12/8/2010 9:00,56268.81471,55240.188,56254.29,56118.402,53948.78,49872.08,55392.18,49822.734
12/8/2010 10:00,56759.82814,56573.613,56709.18,55934.723,53250.742,49550.098,56628.844,49822.734
12/8/2010 11:00,56777.42718,56628.79,56952.266,55270.797,51680.074,49345.785,56634.164,49822.734
12/8/2010 12:00,56372.258,56342.777,56915.492,54165.086,50918.89,49232.336,56325.344,49822.734
12/8/2010 13:00,56217.19084,55704.016,56358.727,53486.22,50289.465,49283.957,55721.492,49822.734
12/8/2010 14:00,56439.13438,55297.152,56029.406,53433.527,49913.367,49498.938,55499.457,49822.734
12/8/2010 15:00,56237.33197,55279.312,56102.9,52951.234,49615.344,49976.664,55563.03,49822.734
12/8/2010 16:00,55151.86183,54761.152,55678.39,51660.582,49456.363,50644.406,55284.902,49822.734
12/8/2010 17:00,53667.47994,53818.668,54731.145,50647.195,49402.266,51392.04,54309.645,49822.734
12/8/2010 18:00,53674.12847,52602.676,53946.64,50018.75,49428,54069.434,53021.484,49822.734
12/8/2010 19:00,53800.05943,52516.414,54136.82,49624.242,49555.99,54668.594,52910.086,49822.734
12/8/2010 20:00,53213.42451,52442.996,54015.28,49277.09,49963.97,54471.535,52883.438,49822.734
12/8/2010 21:00,51270.29412,51613.76,51879.793,49162.805,50905.434,54325.742,52299.203,40862.316
12/8/2010 22:00,50493.58949,50207.516,50611.54,49289.4,51966.105,54008.457,50636.9,40862.453
12/8/2010 23:00,50001.0117,49535.31,50150.473,49780.332,54083.715,53759.098,49857.027,40862.598
13/08/2010 0:00,49719.03585,49065.65,49771.027,50796.812,55456.99,53494.387,49305.42,40862.3
13/08/2010 1:00,49497.28785,48671.31,49336.277,52318.4,55113.406,53177.543,49108.406,49820.605
13/08/2010 2:00,49253.83436,48478.81,49130.336,53739.066,54543.22,52735.133,48976.55,49820.605
13/08/2010 3:00,49110.4999,48337.53,48877.37,54437.48,53856.617,53067.336,48795.18,49820.605
13/08/2010 4:00,49119.10387,48377.195,48750.53,55160.2,53584.2,53426.992,48790.01,49820.605
13/08/2010 5:00,49278.86412,48643.152,48921.46,55826.418,53643.008,52826.695,49003.105,49820.605
13/08/2010 6:00,49513.12699,49156.25,49465.812,55207.242,53151.043,51302.176,49454.78,49820.605
13/08/2010 7:00,50015.48203,49812.938,50158.387,54467.65,52710.176,50571.41,50080.87,49820.605
13/08/2010 8:00,51528.41348,50820.223,51318.33,53867.883,53155.562,50000.24,51102.63,49869.45
13/08/2010 9:00,53725.16571,52667.973,53564.75,53705.875,53648.848,49625.094,52846.95,50414.945
13/08/2010 10:00,53952.58451,54570.992,54451.164,53659.773,53009.01,49278.625,54519.926,50414.945
13/08/2010 11:00,53946.71816,54607.08,54137.54,53211.805,51348.977,49040.09,54469.977,50414.945
13/08/2010 12:00,53420.31109,54432.65,54038.812,52619.375,50507.35,48882.51,54253.176,50414.945
13/08/2010 13:00,52916.78279,53868.203,53470.47,52695.152,49971.984,48821.3,53628.676,50414.945
13/08/2010 14:00,52845.79996,53286.863,52918.22,52974.02,49647.89,48876.953,53034.242,50414.945
13/08/2010 15:00,52666.48522,53011.848,52834.402,52694.965,49183.37,49133.188,52819.734,50414.945
13/08/2010 16:00,52515.72005,52647.727,52704.906,51405.348,49036.16,49557.586,52528.25,50414.945
13/08/2010 17:00,52468.39817,52352.863,52675.906,50445.723,48942.215,50206.9,52256.324,50414.945
13/08/2010 18:00,52995.58741,52051.324,52803.31,49885.2,48782.45,51377.64,52093.633,50414.945
