Tmestamp,Target Load,Target Load,Target Load,Target Load,Target Load,Target Load
08/11/2010 01:00,49648.83521,49648.83521,49648.83521,49648.83521,49648.83521,49648.83521
08/11/2010 02:00,49393.84456,49393.84456,49393.84456,49393.84456,49393.84456,49393.84456
08/11/2010 03:00,49245.62147,49245.62147,49245.62147,49245.62147,49245.62147,49245.62147
08/11/2010 04:00,49250.11901,49250.11901,49250.11901,49250.11901,49250.11901,49250.11901
08/11/2010 05:00,49475.58236,49475.58236,49475.58236,49475.58236,49475.58236,49475.58236
08/11/2010 06:00,50355.14365,50355.14365,50355.14365,50355.14365,50355.14365,50355.14365
08/11/2010 07:00,52467.2249,52467.2249,52467.2249,52467.2249,52467.2249,52467.2249
08/11/2010 08:00,54453.96182,54453.96182,54453.96182,54453.96182,54453.96182,54453.96182
08/11/2010 09:00,56654.4294,56654.4294,56654.4294,56654.4294,56654.4294,56654.4294
08/11/2010 10:00,57060.38076,57060.38076,57060.38076,57060.38076,57060.38076,57060.38076
08/11/2010 11:00,57106.52937,57106.52937,57106.52937,57106.52937,57106.52937,57106.52937
08/11/2010 12:00,56752.98406,56752.98406,56752.98406,56752.98406,56752.98406,56752.98406
08/11/2010 13:00,56550.00838,56550.00838,56550.00838,56550.00838,56550.00838,56550.00838
08/11/2010 14:00,56415.27789,56415.27789,56415.27789,56415.27789,56415.27789,56415.27789
08/11/2010 15:00,56398.46103,56398.46103,56398.46103,56398.46103,56398.46103,56398.46103
08/11/2010 16:00,55120.57463,55120.57463,55120.57463,55120.57463,55120.57463,55120.57463
08/11/2010 17:00,53741.20039,53741.20039,53741.20039,53741.20039,53741.20039,53741.20039
08/11/2010 18:00,53700.52704,53700.52704,53700.52704,53700.52704,53700.52704,53700.52704
08/11/2010 19:00,53907.21808,53907.21808,53907.21808,53907.21808,53907.21808,53907.21808
08/11/2010 20:00,53225.35276,53225.35276,53225.35276,53225.35276,53225.35276,53225.35276
08/11/2010 21:00,51329.3487,51329.3487,51329.3487,51329.3487,51329.3487,51329.3487
08/11/2010 22:00,50540.71583,50540.71583,50540.71583,50540.71583,50540.71583,50540.71583
08/11/2010 23:00,49995.14535,49995.14535,49995.14535,49995.14535,49995.14535,49995.14535
08/12/2010 00:00,49670.73624,49670.73624,49670.73624,49670.73624,49670.73624,49670.73624
08/12/2010 01:00,49456.81004,49456.81004,49456.81004,49456.81004,49456.81004,49456.81004
08/12/2010 02:00,49201.8194,49201.8194,49201.8194,49201.8194,49201.8194,49201.8194
08/12/2010 03:00,49108.54445,49108.54445,49108.54445,49108.54445,49108.54445,49108.54445
08/12/2010 04:00,49143.15591,49143.15591,49143.15591,49143.15591,49143.15591,49143.15591
08/12/2010 05:00,49337.9187,49337.9187,49337.9187,49337.9187,49337.9187,49337.9187
08/12/2010 06:00,50242.50974,50242.50974,50242.50974,50242.50974,50242.50974,50242.50974
08/12/2010 07:00,52236.48183,52236.48183,52236.48183,52236.48183,52236.48183,52236.48183
08/12/2010 08:00,54211.48605,54211.48605,54211.48605,54211.48605,54211.48605,54211.48605
08/12/2010 09:00,56268.81471,56268.81471,56268.81471,56268.81471,56268.81471,56268.81471
08/12/2010 10:00,56759.82814,56759.82814,56759.82814,56759.82814,56759.82814,56759.82814
08/12/2010 11:00,56777.42718,56777.42718,56777.42718,56777.42718,56777.42718,56777.42718
08/12/2010 12:00,56372.258,56372.258,56372.258,56372.258,56372.258,56372.258
08/12/2010 13:00,56217.19084,56217.19084,56217.19084,56217.19084,56217.19084,56217.19084
08/12/2010 14:00,56439.13438,56439.13438,56439.13438,56439.13438,56439.13438,56439.13438
08/12/2010 15:00,56237.33197,56237.33197,56237.33197,56237.33197,56237.33197,56237.33197
08/12/2010 16:00,55151.86183,55151.86183,55151.86183,55151.86183,55151.86183,55151.86183
08/12/2010 17:00,53667.47994,53667.47994,53667.47994,53667.47994,53667.47994,53667.47994
08/12/2010 18:00,53674.12847,53674.12847,53674.12847,53674.12847,53674.12847,53674.12847
08/12/2010 19:00,53800.05943,53800.05943,53800.05943,53800.05943,53800.05943,53800.05943
08/12/2010 20:00,53213.42451,53213.42451,53213.42451,53213.42451,53213.42451,53213.42451
08/12/2010 21:00,51270.29412,51270.29412,51270.29412,51270.29412,51270.29412,51270.29412
08/12/2010 22:00,50493.58949,50493.58949,50493.58949,50493.58949,50493.58949,50493.58949
08/12/2010 23:00,50001.0117,50001.0117,50001.0117,50001.0117,50001.0117,50001.0117
13/08/2010 0:00,49719.03585,49719.03585,49719.03585,49719.03585,49719.03585,49719.03585
13/08/2010 1:00,49497.28785,49497.28785,49497.28785,49497.28785,49497.28785,49497.28785
